No_Of_Owners,car_age,Mileage,Fuel_Type,Kilomerters_driven,Price,Features_encoded,Model_encoded,location_encoded
1,13,16.25,4,11.695255355062795,1.0296194171811583,72,210,220
1,12,16.07,1,10.859018228147887,2.3749057545736716,72,13,224
1,5,17.9,1,10.857093336791094,3.1570004211501135,148,179,219
1,7,18.0,4,11.156264806643742,2.1400661634962708,81,57,224
1,2,14.1,4,9.210440366976517,3.3141860046725258,81,92,224
1,8,17.05,1,10.308985993422082,3.0204248861443626,72,19,192
2,5,13.0,4,10.05638029863927,2.33214389523559,81,66,220
2,4,13.96,4,10.308985993422082,2.771963526845863,74,110,212
2,7,16.0,1,11.156264806643742,2.2512917986064953,148,130,226
2,5,13.0,4,10.819798284210286,2.4159137783010487,81,66,253
1,5,21.21,4,9.334944535200714,1.965712776351493,74,159,223
1,4,21.21,4,10.069425630079559,1.9878743481543455,74,159,224
2,8,23.1,4,10.308985993422082,1.4350845252893227,129,143,192
1,10,17.92,4,11.010960469636434,1.2267122912954254,137,74,249
1,8,20.73,4,10.743523393891111,1.81319474994812,162,145,220
1,4,11.67,4,11.002116507732017,2.803360380906535,259,111,223
1,5,18.15,4,10.365522012132187,2.403334996094189,81,77,224
3,12,12.55,1,11.273004455916707,2.463853240590168,79,246,220
1,3,19.17,4,8.044305406990638,2.1016921506146558,155,205,253
1,2,26.0,4,9.098402718735318,1.9947003132247452,81,143,209
1,9,18.9,4,9.210440366976517,1.749199854809259,93,70,224
3,10,19.1,4,10.596659732783579,1.3987168811184478,79,79,224
1,6,17.8,4,10.728824601278935,2.145931282948669,79,57,224
1,5,21.56,4,10.308985993422082,2.1972245773362196,81,145,216
4,9,9.4,4,11.35080645549378,2.9444389791664403,148,91,249
1,7,18.9,4,10.308985993422082,1.7047480922384253,91,70,224
1,13,18.5,4,11.156264806643742,1.3609765531356006,188,82,219
1,5,22.0,4,9.75272280064639,1.916922612182061,148,159,224
1,9,17.4,4,9.812249072101856,1.9459101490553132,81,57,224
2,9,14.28,4,11.289794413577894,1.9387416595767009,72,242,224
1,2,25.24,4,8.76389700713946,1.8656293177945105,155,143,219
1,4,20.7,4,10.730728467576773,1.9286186519452522,81,71,219
1,8,12.55,1,10.736418414365376,3.1780538303479458,72,246,224
1,8,15.4,4,10.470362642153141,1.7900914121273581,153,54,224
1,6,17.1,4,10.629464877686775,1.9782390361706734,74,253,223
1,10,19.4,4,10.848637813090836,1.3862943611198906,163,55,226
1,5,24.7,4,10.291433424425355,1.4770487243883548,127,138,214
1,5,13.68,1,11.351605816047936,2.917770732084279,72,251,213
1,2,21.7,4,8.839856232763264,1.691939133945844,155,156,255
2,11,20.36,4,10.961329928661026,1.1410330045520618,175,81,224
2,11,7.5,1,10.859921648713133,3.481240089335692,72,200,66
1,7,17.9,1,11.180845567886877,3.6375861597263857,148,181,224
1,1,12.18,4,6.025865973825314,3.817712325956905,150,269,224
1,9,22.74,4,9.210440366976517,1.205970806988609,144,138,253
1,15,19.81,4,10.819798284210286,0.8754687373538999,240,81,192
1,6,21.4,4,9.798182590890704,1.8468787684491346,153,140,219
1,6,20.51,4,10.373522431293592,1.5686159179138452,79,163,216
1,6,23.0,1,10.645448706505872,1.8946168546677629,155,45,224
1,10,17.4,4,10.714439990727769,1.5706970841176697,155,57,224
1,6,18.4,4,10.275085591132715,2.138889000323256,74,57,224
2,12,20.51,4,9.88715489791523,1.6601310267496185,74,147,224
1,3,20.28,4,9.922260237859412,2.2793164660546914,81,82,224
1,2,17.2,4,9.210440366976517,2.70805020110221,81,212,224
1,9,19.81,4,10.424778226149883,1.4701758451005928,243,81,210
1,3,21.7,4,9.826552511062006,1.6370530794670737,125,156,249
1,8,18.9,4,10.491301994830229,1.43746264769429,129,163,224
2,5,23.95,4,10.335010194963582,1.4422019930581866,79,139,254
1,3,19.01,4,9.798182590890704,2.327277705584417,150,147,224
1,4,22.05,4,9.578311275656766,1.4929040961781488,125,138,220
2,5,18.9,4,9.903087472514787,1.7119945007591924,79,70,222
1,8,21.1,4,10.085850775128717,1.2781522025001875,132,67,220
1,5,15.96,1,10.62135173563291,2.0476928433652555,229,113,219
1,9,17.32,1,10.714439990727769,2.4807312783775197,72,7,224
1,3,14.2,4,9.227983807148778,2.9831534913471307,81,64,223
1,11,18.9,4,10.475737478289117,1.4469189829363254,79,70,224
1,7,18.9,4,10.463131911491967,1.6389967146756448,79,70,224
1,5,13.68,1,10.596659732783579,2.8875901149342877,72,251,223
1,8,24.0,1,10.800411961919318,1.536867219599265,93,70,220
2,17,19.7,4,10.596659732783579,11.49273296168228,15,137,223
1,5,23.95,4,10.81067699302108,1.4655675420143985,122,139,253
1,10,22.41,4,10.563569038890739,1.6213664832993742,148,160,249
1,6,17.4,4,10.398641006907823,2.0476928433652555,81,57,224
